1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,stop
-89.88,30.52,169.15,164.11,39.68,30.81,0,0,0,88.51,-49.65,-10.02,121.86,-40.52,-1.14,-149.01,-23.72,-7.13
-98.20,37.02,167.83,160.12,39.24,27.95,-136.82,29.33,-65.42,89.06,-51.59,-12.39,121.99,-43.05,-3.56,-147.88,-26.46,-8.04
-102.70,40.40,166.17,155.89,38.65,24.77,-138.06,28.67,-66.71,89.79,-54.81,-15.18,123.39,-45.98,-7.05,-146.23,-29.71,-9.83
-107.09,43.50,164.40,151.47,38.03,21.32,-139.51,27.68,-68.23,91.26,-58.39,-18.75,126.47,-49.25,-12.17,0,0,0
-112.22,46.94,162.07,142.19,36.64,13.80,-141.00,26.62,-69.73,93.59,-63.55,-23.15,131.70,-52.63,-19.30,0,0,0
-117.63,50.33,159.40,137.62,35.55,10.00,-144.59,23.86,-72.82,98.72,-69.96,-30.08,139.64,-55.60,-29.01,-137.36,-41.36,-20.78
-123.14,53.73,156.37,133.20,34.15,6.31,-146.51,22.19,-74.30,110.86,-76.36,-43.82,150.24,-57.99,-41.17,-133.05,-44.71,-25.64
-128.66,57.02,152.71,128.91,32.52,2.72,-148.36,20.48,-75.61,143.69,-81.08,-78.00,163.04,-59.12,-55.22,-128.19,-47.49,-30.77
-134.57,60.11,148.30,124.90,30.73,-0.69,-150.16,18.59,-76.93,-168.12,-79.61,-127.21,176.77,-58.52,-69.96,-122.84,-49.91,-36.26
-141.07,62.89,143.15,121.26,28.86,-3.89,-151.88,16.66,-78.12,-146.52,-73.43,-149.26,-170.19,-56.33,-83.90,-116.81,-52.13,-42.43
-148.05,65.40,137.27,117.79,27.04,-6.86,-153.43,14.84,-79.03,-138.50,-66.09,-157.26,-158.90,-52.98,-96.11,-111.46,-54.26,-48.32
-155.46,67.57,130.62,114.79,25.04,-9.28,-154.82,13.05,-79.71,-134.41,-58.69,-161.48,-150.01,-49.18,-105.93,-103.78,-56.05,-56.44
-163.35,69.23,123.23,112.26,23.00,-11.16,-156.12,11.17,-80.23,-131.43,-51.89,-164.97,-143.22,-45.16,-113.55,-95.39,-57.02,-65.46
-171.26,70.36,115.69,109.97,21.19,-12.90,-157.23,9.56,-80.60,-128.51,-46.44,-168.39,-138.16,-41.23,-119.47,-87.14,-57.10,-74.28
-178.67,71.05,108.81,107.94,19.68,-14.54,-158.02,8.41,-80.83,-126.24,-42.16,-171.34,-134.68,-37.79,-123.83,-79.97,-56.63,-81.73
175.09,71.50,103.28,106.19,18.49,-15.99,-158.58,7.65,-80.98,-125.51,-38.78,-173.22,-132.72,-35.06,-126.39,-74.21,-55.34,-87.22
