1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,stop
-11.14,2.21,134.42,-179.29,8.88,-10.18,-156.04,6.20,-49.81,37.21,-23.56,25.11,88.92,-22.45,9.48,-163.51,-4.51,-9.80
-11.10,2.21,134.62,-179.15,8.89,-10.06,-156.12,6.24,-49.80,36.05,-21.63,25.73,87.21,-22.54,9.60,-163.80,-4.68,-10.12
-11.06,2.20,134.83,-178.97,8.93,-9.94,-156.16,6.30,-49.78,0,0,0,85.94,-22.77,9.48,-163.89,-4.86,-10.40
-10.98,2.12,135.27,-178.78,9.00,-9.83,-156.19,6.42,-49.73,35.12,-20.04,26.63,85.04,-23.14,9.05,-163.86,-5.04,-10.70
-10.93,2.09,135.49,-178.60,9.06,-9.70,-156.24,6.54,-49.65,0,0,0,84.52,-23.59,8.55,-163.75,-5.24,-11.05
-10.89,2.06,135.72,-178.21,9.22,-9.43,-156.26,6.68,-49.57,35.35,-19.75,27.73,84.31,-24.07,8.09,-163.56,-5.55,-11.47
-10.84,2.04,135.94,-178.01,9.28,-9.29,-156.25,6.85,-49.47,35.84,-19.80,28.07,84.40,-24.54,7.59,-163.26,-5.89,-11.86
-10.79,2.04,136.16,-177.84,9.36,-9.16,-156.24,6.97,-49.37,36.61,-20.14,28.07,84.80,-25.00,6.91,-162.86,-6.18,-12.28
-10.75,2.05,136.38,-177.68,9.43,-9.01,-156.21,7.04,-49.27,0,0,0,85.48,-25.44,6.02,-162.44,-6.46,-12.71
-10.71,2.06,136.60,-177.54,9.48,-8.86,-156.23,7.20,-49.12,39.77,-22.34,26.90,86.34,-25.83,5.13,-162.09,-6.75,-13.09
-10.67,2.08,136.80,-177.42,9.54,-8.70,-156.25,7.26,-49.05,0,0,0,87.33,-26.16,4.31,-161.73,-6.94,-13.42
-10.63,2.10,137.00,-177.32,9.55,-8.56,-156.27,7.30,-49.00,41.37,-23.29,27.75,89.74,-26.67,2.93,-161.21,-7.13,-13.70
-10.60,2.12,137.18,-177.25,9.58,-8.39,-156.31,7.34,-48.95,41.89,-23.76,28.47,91.15,-27.10,2.30,-160.59,-7.34,-13.94
-10.58,2.15,137.36,-177.13,9.64,-8.24,-156.35,7.37,-48.91,0,0,0,92.83,-27.49,1.70,-159.90,-7.53,-14.08
-10.56,2.19,137.53,-177.03,9.66,-8.10,-156.36,7.38,-48.88,42.44,-26.48,31.01,94.84,-27.85,1.10,-158.70,-8.50,-14.22
-10.53,2.22,137.71,-176.95,9.72,-7.95,-156.32,7.40,-48.87,42.17,-28.00,33.40,97.14,-28.28,0.57,-158.41,-9.20,-14.28
-10.50,2.24,137.88,-176.84,9.79,-7.80,-156.31,7.41,-48.87,41.15,-29.14,36.80,99.67,-28.82,0.17,-158.34,-9.90,-14.26
-10.46,2.24,138.05,-176.74,9.87,-7.64,-156.35,7.41,-48.87,39.66,-30.19,41.20,102.32,-29.61,0.04,-158.45,-10.60,-14.09
-10.43,2.25,138.22,-176.64,9.88,-7.50,-156.40,7.42,-48.86,37.81,-31.34,46.70,105.11,-30.74,0.24,-158.57,-11.58,-13.83
-10.40,2.25,138.39,-176.55,9.89,-7.35,-156.41,7.41,-48.85,35.42,-32.25,53.59,108.13,-32.25,0.58,-158.70,-12.86,-13.57
-10.37,2.26,138.55,-176.44,9.90,-7.20,-156.43,7.37,-48.84,32.78,-33.03,62.03,111.53,-34.02,0.70,-159.07,-14.15,-13.28
-10.32,2.26,138.72,-176.30,9.94,-7.06,-156.48,7.38,-48.80,29.89,-33.44,72.24,115.17,-36.12,0.80,-159.83,-15.45,-12.95
-10.27,2.26,138.88,-176.22,10.06,-6.89,-156.53,7.41,-48.78,26.05,-32.30,85.21,118.75,-38.68,1.49,-161.16,-16.80,-12.52
-10.22,2.26,139.05,-176.14,10.27,-6.69,-156.56,7.47,-48.78,21.56,-28.34,100.46,121.99,-41.82,3.04,-162.94,-18.14,-12.10
-10.18,2.27,139.21,-176.06,10.56,-6.48,-156.56,7.60,-48.79,18.64,-21.37,115.42,124.77,-45.43,5.04,-165.09,-18.65,-11.52
-10.16,2.30,139.38,-176.00,10.93,-6.23,-156.55,7.82,-48.79,19.28,-11.88,128.31,128.32,-48.46,5.50,-167.52,-16.25,-10.05
